stem,freq,rank,best_lang,best_form,best_gloss,best_cat,confidence,syriac_skel,syriac_reading,status
qokchd,10,103,latin,pectus,chest,ANAT,1.0,wkkd,-,matched
cheek,10,104,occitan,cortic,bark,ING,0.85,kk,-,matched
oro,10,105,-,-,-,-,0.0,r,-,unmatched
ykeed,10,106,occitan,ventre,belly,ANAT,0.85,ykd,-,matched
ld,9,107,-,-,-,-,0.0,ld,l-d-,unmatched
dched,9,108,-,-,-,-,0.0,dkd,-,unmatched
ches,9,109,syriac,ks,kasia,SYR,0.9,ks,kasia,matched
qolched,9,110,latin,fructus,fruit,ING,1.0,wlkd,-,matched
olshe,9,111,syriac,ls,lasha,SYR,0.9,ls,lasha,matched
qokshed,8,112,latin,sanguis,blood,ANAT,1.0,wksd,-,matched
yted,8,113,latin,pone,place,VERB,1.0,ytd,-,matched
qoto,8,114,occitan,sang,blood,ANAT,1.0,wt,-,matched
chea,8,115,occitan,fege,liver,ANAT,1.0,k,ki-,matched
sheek,7,116,latin,hepar,liver,ANAT,1.0,sk,-,matched
qol,7,117,latin,cor,heart,ANAT,1.0,wl,w-l-,matched
rshed,7,118,latin,manus,hand,ANAT,1.0,rsd,-,matched
qotee,7,119,latin,sanat,heals,VERB,1.0,wt,-,matched
olaii,7,120,syriac,l,l-,SYR,0.9,l,l-,matched
lch,7,121,latin,ren,kidney,ANAT,1.0,lk,l-ki-,matched
yked,7,122,occitan,calt,warm,QUAL,1.0,ykd,-,matched
oii,7,123,-,-,-,-,0.0,,-,unmatched
ly,7,124,occitan,pe,foot,ANAT,1.0,ly,-,matched
chckhe,7,125,latin,matrix,womb,ANAT,1.0,kkk,-,matched
sheda,7,126,latin,curat,cures,VERB,1.0,sd,-,matched
qolkeed,7,127,latin,calidus,warm,QUAL,1.0,wlkd,-,matched
la,7,128,occitan,ma,hand,ANAT,1.0,l,l-,matched
aiii,7,129,occitan,amar,bitter,QUAL,1.0,,-,matched
ee,7,130,latin,os,bone,ANAT,1.0,,-,matched
shea,7,131,occitan,freg,cold,QUAL,1.0,s,-,matched
qote,7,132,occitan,dous,sweet,QUAL,1.0,wt,-,matched
qolche,7,133,latin,siccus,dry,QUAL,1.0,wlk,-,matched
kaii,7,134,occitan,sana,heals,VERB,1.0,k,ki-,matched
qokched,7,135,latin,humidus,moist,QUAL,1.0,wkkd,-,matched
olkaii,7,136,latin,amarus,bitter,QUAL,1.0,lk,l-ki-,matched
rched,7,137,latin,dolet,hurts,VERB,1.0,rkd,-,matched
dam,7,138,latin,pes,foot,ANAT,1.0,dm,d-min-,matched
ykee,7,139,occitan,cura,cures,VERB,1.0,yk,-,matched
rche,7,140,occitan,pren,take,VERB,1.0,rk,-,matched
lshe,6,141,syriac,ls,lasha,SYR,0.9,ls,lasha,matched
okchd,6,142,-,-,-,-,0.0,kkd,-,unmatched
dald,6,143,-,-,-,-,0.0,dld,-,unmatched
sheet,6,144,latin,misce,mix,VERB,1.0,st,-,matched
dal,6,145,occitan,cor,heart,ANAT,1.0,dl,dala,matched
lol,6,146,occitan,ren,kidney,ANAT,1.0,ll,l-l-,matched
chedaii,6,147,latin,frigidus,cold,QUAL,0.85,kd,-,matched
